Plant Name,Operator,Region,Website
Monticello,Xcel Energy,Midwest,https://jobs.xcelenergy.com/
Prairie Island,Xcel Energy,Midwest,https://jobs.xcelenergy.com/
Wolf Creek,Wolf Creek Nuclear Operating Corporation,Midwest,https://evergy.taleo.net/careersection/evergy_external_career_section/jobsearch.ftl?lang=en&portal=8360483464
Browns Ferry,Tennessee Valley Authority,Southeast,https://www.tva.com/careers
Sequoyah,Tennessee Valley Authority,Southeast,https://www.tva.com/careers
Watts Bar,Tennessee Valley Authority,Southeast,https://www.tva.com/careers
Susquehanna,Talen Energy,Northeast,https://talenenergy.wd1.myworkdayjobs.com/TalenCareers
South Texas Project,STP Nuclear Operating Company,Southwest,https://stp.dayforcehcm.com/CandidatePortal/en-US/stp
Farley (Joseph M. Farley),Southern Nuclear (Southern Company),Southeast,https://southerncompany-nuclear.jobs/jobs/
Hatch (Edwin I. Hatch),Southern Nuclear (Southern Company),Southeast,https://southerncompany-nuclear.jobs/jobs/
Vogtle,Southern Nuclear (Southern Company),Southeast,https://southerncompany-nuclear.jobs/jobs/
Hope Creek,PSEG,Northeast,https://jobs.pseg.com/viewalljobs/
Salem,PSEG,Northeast,https://jobs.pseg.com/viewalljobs/
Diablo Canyon,Pacific Gas & Electric,West,https://jobs.pge.com/search-jobs
Point Beach,NextEra Energy,Midwest,https://www.nexteraenergy.com/careers/search-jobs.html
Seabrook,NextEra Energy,Northeast,https://www.nexteraenergy.com/careers/search-jobs.html
Cooper,Nebraska Public Power District,Midwest,https://www.nppd.com/careers
Comanche Peak,Luminant (Vistra),Southwest,https://vistracorp.com/careers/
Donald C. Cook,Indiana Michigan Power (AEP),Midwest,https://www.aep.com/careers/
St. Lucie,Florida Power & Light (NextEra),Southeast,https://www.nexteraenergy.com/careers.html
Turkey Point,Florida Power & Light (NextEra),Southeast,https://www.nexteraenergy.com/careers.html
Arkansas Nuclear One,Entergy,Southeast,https://jobs.entergy.com/
Grand Gulf,Entergy,Southeast,https://jobs.entergy.com/
River Bend,Entergy,Southeast,https://jobs.entergy.com/
Waterford,Entergy,Southeast,https://jobs.entergy.com/
Columbia Generating Station,Energy Northwest,West,https://energynorthwest.wd1.myworkdayjobs.com/External
Beaver Valley,Energy Harbor,Northeast,https://careers.harbourenergy.com/
Davis-Besse,Energy Harbor,Midwest,https://careers.harbourenergy.com/
Perry,Energy Harbor,Midwest,https://careers.harbourenergy.com/
Brunswick,Duke Energy,Southeast,https://dukeenergy.wd1.myworkdayjobs.com/search
Harris (Shearon Harris),Duke Energy,Southeast,https://dukeenergy.wd1.myworkdayjobs.com/search
McGuire,Duke Energy,Southeast,https://dukeenergy.wd1.myworkdayjobs.com/search
Oconee,Duke Energy,Southeast,https://dukeenergy.wd1.myworkdayjobs.com/search
Robinson (H.B. Robinson),Duke Energy,Southeast,https://dukeenergy.wd1.myworkdayjobs.com/search
Fermi,DTE Energy,Midwest,https://careers.dteenergy.com/search/?createNewAlert=false&q=&optionsFacetsDD_location=&optionsFacetsDD_state=&optionsFacetsDD_department=&locationsearch=
Millstone,Dominion Energy,Northeast,https://careers.dominionenergy.com/
North Anna,Dominion Energy,Southeast,https://careers.dominionenergy.com/
Surry,Dominion Energy,Southeast,https://careers.dominionenergy.com/
V.C. Summer,Dominion Energy,Southeast,https://careers.dominionenergy.com/
Braidwood,Constellation,Midwest,https://jobs.constellationenergy.com/careers-home/
Byron,Constellation,Midwest,https://jobs.constellationenergy.com/careers-home/
Calvert Cliffs,Constellation,Northeast,https://jobs.constellationenergy.com/careers-home/
Clinton,Constellation,Midwest,https://jobs.constellationenergy.com/careers-home/
Dresden,Constellation,Midwest,https://jobs.constellationenergy.com/careers-home/
FitzPatrick (James A. FitzPatrick),Constellation,Northeast,https://jobs.constellationenergy.com/careers-home/
LaSalle,Constellation,Midwest,https://jobs.constellationenergy.com/careers-home/
Limerick,Constellation,Northeast,https://jobs.constellationenergy.com/careers-home/
Nine Mile Point,Constellation,Northeast,https://jobs.constellationenergy.com/careers-home/
Peach Bottom,Constellation,Northeast,https://jobs.constellationenergy.com/careers-home/
Quad Cities,Constellation,Midwest,https://jobs.constellationenergy.com/careers-home/
R.E. Ginna,Constellation,Northeast,https://jobs.constellationenergy.com/careers-home/
Palo Verde,Arizona Public Service,Southwest,https://careers.aps.com/
Callaway,Ameren Missouri,Midwest,https://ameren.wd1.myworkdayjobs.com/External
,,,
Nukeworker,,,
