,,
,,
Company,Location,
Enetergy ,Grand Gulf,
Constellation,Peach Bottom,
APS,Palo Verde,
Constellation,South Texas,
Constellation,Nine Mile Point,
Talon Energy,Susquehanna,
NextEra,Seabrook,
?,Perry,
Ameren missouri ,Callaway,
Tennessee Valley Authority,Browns Ferry,
Dominion Energy,Millstone,
Luminant,Luminant,Comanche Peak Nuclear Power Plant
Constellation Energy,Braidwood Nuclear Generating Station,Braidwood Nuclear Generating Station
PSEG,Hope Creek Nuclear Generating Station,
PSEG / Constellation,Salem Nuclear Power Plant,
Entergy,Waterford Nuclear Generating Station,
Constellation Energy,"Byron Nuclear Generating Statio
",
